episode,timestamp,epsilon,win_rate,loss_rate,draw_rate,avg_reward,avg_moves,q_table_size
46200,2026-01-15T21:40:53.018914,0.01,85.24891774891775,7.896103896103897,6.854978354978355,0.79,6.63,2471.0
46300,2026-01-15T21:40:53.039370,0.01,85.24406047516199,7.896328293736501,6.859611231101511,0.75,6.51,2472.0
46400,2026-01-15T21:40:53.060254,0.01,85.2521551724138,7.890086206896552,6.857758620689655,0.84,6.57,2472.0
46500,2026-01-15T21:40:53.080953,0.01,85.26666666666667,7.881720430107526,6.851612903225806,0.88,6.58,2473.0
46600,2026-01-15T21:40:53.101917,0.01,85.28755364806867,7.875536480686696,6.836909871244636,0.9,6.59,2473.0
46700,2026-01-15T21:40:53.122871,0.01,85.29764453961455,7.869379014989293,6.832976445396145,0.85,6.6,2474.0
46800,2026-01-15T21:40:53.144028,0.01,85.30341880341881,7.863247863247863,6.833333333333333,0.83,6.51,2474.0
46900,2026-01-15T21:40:53.165216,0.01,85.31556503198294,7.85501066098081,6.829424307036247,0.87,6.55,2475.0
47000,2026-01-15T21:40:53.186458,0.01,85.33617021276596,7.84468085106383,6.819148936170214,0.92,6.42,2475.0
47100,2026-01-15T21:40:53.206702,0.01,85.34394904458598,7.840764331210191,6.8152866242038215,0.83,6.52,2477.0
47200,2026-01-15T21:40:53.226977,0.01,85.34957627118645,7.834745762711864,6.815677966101695,0.83,6.53,2479.0
47300,2026-01-15T21:40:53.247944,0.01,85.36152219873149,7.828752642706132,6.809725158562367,0.86,6.47,2479.0
47400,2026-01-15T21:40:53.269234,0.01,85.37130801687763,7.829113924050633,6.79957805907173,0.82,6.49,2479.0
47500,2026-01-15T21:40:53.291174,0.01,85.37263157894736,7.829473684210527,6.797894736842106,0.78,6.62,2482.0
47600,2026-01-15T21:40:53.312336,0.01,85.38655462184875,7.815126050420168,6.798319327731092,0.91,6.48,2483.0
47700,2026-01-15T21:40:53.334577,0.01,85.39203354297695,7.815513626834382,6.7924528301886795,0.8,6.68,2488.0
47800,2026-01-15T21:40:53.355929,0.01,85.39958158995816,7.8096234309623425,6.790794979079498,0.84,6.37,2488.0
47900,2026-01-15T21:40:53.376557,0.01,85.40501043841337,7.797494780793319,6.79749478079332,0.86,6.63,2491.0
48000,2026-01-15T21:40:53.397684,0.01,85.41041666666666,7.802083333333333,6.7875000000000005,0.78,6.49,2494.0
48100,2026-01-15T21:40:53.419131,0.01,85.41995841995842,7.8004158004157995,6.779625779625779,0.83,6.49,2494.0
48200,2026-01-15T21:40:53.441509,0.01,85.42323651452283,7.79253112033195,6.784232365145228,0.83,6.53,2495.0
48300,2026-01-15T21:40:53.461683,0.01,85.43478260869564,7.79296066252588,6.772256728778468,0.83,6.44,2495.0
48400,2026-01-15T21:40:53.482926,0.01,85.44834710743801,7.785123966942149,6.766528925619834,0.88,6.42,2495.0
48500,2026-01-15T21:40:53.503344,0.01,85.45567010309279,7.777319587628866,6.76701030927835,0.85,6.44,2495.0
48600,2026-01-15T21:40:53.524184,0.01,85.46502057613169,7.773662551440329,6.761316872427983,0.84,6.51,2495.0
48700,2026-01-15T21:40:53.545595,0.01,85.47843942505133,7.761806981519507,6.759753593429157,0.9,6.57,2497.0
48800,2026-01-15T21:40:53.567563,0.01,85.48155737704917,7.758196721311475,6.760245901639345,0.81,6.49,2497.0
48900,2026-01-15T21:40:53.590135,0.01,85.48466257668711,7.754601226993866,6.7607361963190185,0.81,6.61,2497.0
49000,2026-01-15T21:40:53.610477,0.01,85.48979591836735,7.755102040816326,6.755102040816327,0.8,6.32,2497.0
49100,2026-01-15T21:40:53.630725,0.01,85.5071283095723,7.741344195519348,6.751527494908351,0.93,6.4,2499.0
49200,2026-01-15T21:40:53.651323,0.01,85.51829268292683,7.727642276422763,6.754065040650406,0.9,6.69,2499.0
49300,2026-01-15T21:40:53.672555,0.01,85.51521298174443,7.728194726166329,6.75659229208925,0.76,6.66,2499.0
49400,2026-01-15T21:40:53.694346,0.01,85.52226720647774,7.728744939271255,6.748987854251013,0.81,6.75,2500.0
49500,2026-01-15T21:40:53.716714,0.01,85.52525252525253,7.725252525252525,6.74949494949495,0.81,6.49,2500.0
49600,2026-01-15T21:40:53.738857,0.01,85.52016129032258,7.72983870967742,6.75,0.73,6.87,2502.0
49700,2026-01-15T21:40:53.759983,0.01,85.53722334004024,7.716297786720322,6.746478873239436,0.93,6.59,2502.0
49800,2026-01-15T21:40:53.781267,0.01,85.54618473895582,7.714859437751004,6.738955823293173,0.83,6.46,2506.0
49900,2026-01-15T21:40:53.801926,0.01,85.55511022044088,7.709418837675351,6.735470941883767,0.85,6.26,2506.0
50000,2026-01-15T21:40:53.823305,0.01,85.554,7.712,6.734,0.76,6.52,2507.0
100,2026-01-15T21:40:55.404640,0.6057704364907278,50.0,41.0,9.0,0.09,7.73,274.0
200,2026-01-15T21:40:55.503445,0.3669578217261671,47.5,41.0,11.5,0.04,7.51,493.0
300,2026-01-15T21:40:55.546450,0.22229219984074702,45.33333333333333,43.333333333333336,11.333333333333332,-0.07,7.49,676.0
400,2026-01-15T21:40:55.589789,0.1346580429260134,45.0,41.75,13.25,0.07,7.47,822.0
500,2026-01-15T21:40:55.627547,0.08157186144027828,46.0,41.6,12.4,0.09,7.12,946.0
600,2026-01-15T21:40:55.669582,0.0494138221100385,47.0,41.0,12.0,0.14,7.0,1057.0
700,2026-01-15T21:40:55.711707,0.029933432588273214,49.714285714285715,38.57142857142858,11.714285714285715,0.42,6.69,1145.0
800,2026-01-15T21:40:55.751933,0.018132788524664028,51.24999999999999,37.5,11.25,0.32,6.96,1226.0
900,2026-01-15T21:40:55.790731,0.01098430721937979,53.0,36.666666666666664,10.333333333333334,0.37,6.77,1302.0
1000,2026-01-15T21:40:55.831930,0.01,54.300000000000004,35.8,9.9,0.38,6.75,1368.0
1100,2026-01-15T21:40:55.872416,0.01,55.18181818181817,35.27272727272727,9.545454545454547,0.34,6.78,1429.0
1200,2026-01-15T21:40:55.955918,0.01,55.833333333333336,35.0,9.166666666666666,0.31,6.66,1479.0
1300,2026-01-15T21:40:55.998056,0.01,56.15384615384615,34.76923076923077,9.076923076923077,0.28,6.76,1537.0
1400,2026-01-15T21:40:56.037112,0.01,57.07142857142857,34.07142857142857,8.857142857142856,0.44,6.6,1578.0
1500,2026-01-15T21:40:56.075821,0.01,57.666666666666664,33.33333333333333,9.0,0.43,6.7,1625.0
1600,2026-01-15T21:40:56.118950,0.01,58.4375,32.625,8.9375,0.48,6.79,1659.0
1700,2026-01-15T21:40:56.157428,0.01,58.88235294117648,32.294117647058826,8.823529411764707,0.39,6.7,1695.0
1800,2026-01-15T21:40:56.196833,0.01,59.5,31.833333333333336,8.666666666666668,0.46,6.48,1722.0
1900,2026-01-15T21:40:56.238678,0.01,60.36842105263158,31.263157894736842,8.368421052631579,0.55,6.58,1744.0
2000,2026-01-15T21:40:56.278283,0.01,61.0,30.8,8.200000000000001,0.51,6.53,1771.0
2100,2026-01-15T21:40:56.316625,0.01,61.57142857142858,30.142857142857142,8.285714285714285,0.56,6.54,1799.0
2200,2026-01-15T21:40:56.359228,0.01,62.272727272727266,29.59090909090909,8.136363636363637,0.59,6.64,1824.0
2300,2026-01-15T21:40:56.401616,0.01,62.78260869565217,29.26086956521739,7.956521739130435,0.52,6.66,1842.0
2400,2026-01-15T21:40:56.445473,0.01,63.33333333333333,28.916666666666668,7.75,0.55,6.58,1861.0
2500,2026-01-15T21:40:56.483911,0.01,63.75999999999999,28.4,7.84,0.58,6.76,1875.0
2600,2026-01-15T21:40:56.523347,0.01,64.23076923076924,28.000000000000004,7.769230769230768,0.58,6.87,1891.0
2700,2026-01-15T21:40:56.565402,0.01,64.74074074074075,27.51851851851852,7.740740740740741,0.63,6.76,1905.0
2800,2026-01-15T21:40:56.605486,0.01,65.25,27.0,7.75,0.66,6.6,1917.0
2900,2026-01-15T21:40:56.645224,0.01,65.62068965517241,26.689655172413794,7.689655172413794,0.58,6.44,1922.0
3000,2026-01-15T21:40:56.742158,0.01,65.9,26.466666666666665,7.633333333333334,0.54,6.73,1938.0
3100,2026-01-15T21:40:56.781028,0.01,66.35483870967742,26.032258064516128,7.612903225806451,0.67,6.61,1953.0
3200,2026-01-15T21:40:56.825162,0.01,66.84375,25.656250000000004,7.5,0.68,6.52,1957.0
3300,2026-01-15T21:40:56.867248,0.01,67.0909090909091,25.454545454545453,7.454545454545454,0.56,6.55,1970.0
3400,2026-01-15T21:40:56.909805,0.01,67.58823529411765,25.058823529411768,7.352941176470589,0.72,6.52,1975.0
3500,2026-01-15T21:40:56.946885,0.01,68.11428571428571,24.714285714285715,7.171428571428572,0.73,6.43,1980.0
3600,2026-01-15T21:40:56.985280,0.01,68.5,24.416666666666668,7.083333333333333,0.68,6.49,1984.0
3700,2026-01-15T21:40:57.023804,0.01,68.8108108108108,24.10810810810811,7.081081081081081,0.67,6.63,1991.0
